Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","2","C2,C9","","",""
"Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","2","C5,C8","","",""
"Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","1","C7","","",""
"Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","7","D1,D14,D15,D16,D17,D8,D9","SS34","UMW(友台半导体)",""
"Diode","1","D2","SMBJ24A","Littelfuse Inc.",""
"Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric","1","Down","","",""
"Fuse","1","F1","05200101Z","Littelfuse Inc.",""
"Connector","1","J1","691137710002","Würth Elektrik",""
"Connector, HDR-TH_2P-P5.08-V-R2-C1-S2.54","11","J10,J11,J12,J13,J18,J19,J2,J20,J3,J4,J9","1730395","Phoenix Contact",""
"Connector, THT","1","J15","0022232031","Molex",""
"Inductor, 22uH, SMD_SRN6045TA","1","L1","","",""
"MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","5","Q1,Q6,Q7,Q8,Q9","AO3400A","UMW(友台半导体)",""
"Resistor, 100Ω, SMD_0603_1608Metric","5","R1,R2,R36,R38,R40","","",""
"Resistor, 10kΩ, SMD_0603_1608Metric","11","R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","","",""
"Resistor, 100kΩ, SMD_0603_1608Metric","8","R17,R25,R26,R35,R37,R39,R41,R6","","",""
"Resistor, 1kΩ, SMD_0603_1608Metric","2","R23,R24","","",""
"Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","1","U1","X5521WV-2x13-C40D40-1196","XKB Connection(中国星坤)",""
"Integrated Circuit","1","U2","TPS54302DDCR","Texas Instruments",""
"Operational Amplifier (OP-AMP)","1","U3","OPA340UA","Texas Instruments",""
"Integrated Circuit","1","U5","LM7805CT/NOPB","Texas Instruments",""
"Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","1","Up","","",""
