Item #,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
"1","C2,C9","2","","","Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","","",""
"2","C5,C8","2","","","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","","",""
"3","C7","1","","","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","","",""
"4","D1,D14,D15,D16,D17,D8,D9","7","UMW(友台半导体)","SS34","Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","SMB_L4.3-W3.6-LS5.4-RD","",""
"5","D2","1","Littelfuse Inc.","SMBJ24A","Diode","","",""
"6","Down","1","","","Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric","","",""
"7","F1","1","Littelfuse Inc.","05200101Z","Fuse","","",""
"8","J1","1","Würth Elektrik","691137710002","Connector","","",""
"9","J10,J11,J12,J13,J18,J19,J2,J20,J3,J4,J9","11","Phoenix Contact","1730395","Connector, HDR-TH_2P-P5.08-V-R2-C1-S2.54","","",""
"10","J15","1","Molex","0022232031","Connector, THT","","",""
"11","L1","1","","","Inductor, 22uH, SMD_SRN6045TA","","",""
"12","Q1,Q6,Q7,Q8,Q9","5","UMW(友台半导体)","AO3400A","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","",""
"13","R1,R2,R36,R38,R40","5","","","Resistor, 100Ω, SMD_0603_1608Metric","","",""
"14","R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","11","","","Resistor, 10kΩ, SMD_0603_1608Metric","","",""
"15","R17,R25,R26,R35,R37,R39,R41,R6","8","","","Resistor, 100kΩ, SMD_0603_1608Metric","","",""
"16","R23,R24","2","","","Resistor, 1kΩ, SMD_0603_1608Metric","","",""
"17","U1","1","XKB Connection(中国星坤)","X5521WV-2x13-C40D40-1196","Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","",""
"18","U2","1","Texas Instruments","TPS54302DDCR","Integrated Circuit","","",""
"19","U3","1","Texas Instruments","OPA340UA","Operational Amplifier (OP-AMP)","","",""
"20","U5","1","Texas Instruments","LM7805CT/NOPB","Integrated Circuit","","",""
"21","Up","1","","","Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","","",""
