Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C2,C9","2","","","Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","47uF","","",""
"C5,C8","2","","","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","100nF","","",""
"C7","1","","","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","10nF","","",""
"D1,D14,D15,D16,D17,D8,D9","7","SS34","UMW(友台半导体)","Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","","","","SMB_L4.3-W3.6-LS5.4-RD"
"D2","1","SMBJ24A","Littelfuse Inc.","Diode","","","",""
"Down","1","","","Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric",".33uF","","",""
"F1","1","05200101Z","Littelfuse Inc.","Fuse","","","",""
"J1","1","691137710002","Würth Elektrik","Connector","","","",""
"J10,J11,J12,J13,J18,J19,J2,J20,J3,J4,J9","11","1730395","Phoenix Contact","Connector, HDR-TH_2P-P5.08-V-R2-C1-S2.54","","","",""
"J15","1","0022232031","Molex","Connector, THT","","","",""
"L1","1","","","Inductor, 22uH, SMD_SRN6045TA","22uH","","",""
"Q1,Q6,Q7,Q8,Q9","5","AO3400A","UMW(友台半导体)","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","","","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"
"R1,R2,R36,R38,R40","5","","","Resistor, 100Ω, SMD_0603_1608Metric","100Ω","","",""
"R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","11","","","Resistor, 10kΩ, SMD_0603_1608Metric","10kΩ","","",""
"R17,R25,R26,R35,R37,R39,R41,R6","8","","","Resistor, 100kΩ, SMD_0603_1608Metric","100kΩ","","",""
"R23,R24","2","","","Resistor, 1kΩ, SMD_0603_1608Metric","1kΩ","","",""
"U1","1","X5521WV-2x13-C40D40-1196","XKB Connection(中国星坤)","Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","","","","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2"
"U2","1","TPS54302DDCR","Texas Instruments","Integrated Circuit","","","",""
"U3","1","OPA340UA","Texas Instruments","Operational Amplifier (OP-AMP)","","","",""
"U5","1","LM7805CT/NOPB","Texas Instruments","Integrated Circuit","","","",""
"Up","1","","","Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","0.1uF","","",""
