Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C2","-27.6693mm","-2.5591mm","Top",0,"CP_Radial_D6.3mm_P2.50mm","47uF"
"C5","-20.0954mm","-4.3018mm","Top",0,"SMD_0603_1608Metric","100nF"
"C7","28.2189mm","29.6071mm","Top",0,"SMD_0603_1608Metric","10nF"
"C8","21.1472mm","30.0613mm","Top",0,"SMD_0603_1608Metric","100nF"
"C9","36.0652mm","16.1627mm","Top",0,"CP_Radial_D6.3mm_P2.50mm","47uF"
"D1","26.0318mm","1.1457mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D2","22.7648mm","-1.8594mm","Top",0,"",""
"D8","-23.4958mm","13.5431mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D9","13.7542mm","-13.0725mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D14","5.4351mm","-15.8507mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D15","7.6871mm","-10.7542mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D16","8.1065mm","-21.5777mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D17","9.381mm","-19.5099mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"Down","21.6409mm","38.7664mm","Top",0,"SMD_0603_1608Metric",".33uF"
"F1","45.6811mm","3.76mm","Top",0,"",""
"J1","25.6649mm","6.9653mm","Top",0,"",""
"J2","14.2208mm","-18.97mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J3","-28.1411mm","12.456mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J4","22.9009mm","-7.3773mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J9","-28.9511mm","7.2137mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J10","-29.1909mm","2.8589mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J11","-32.703mm","-1.133mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J12","-35.9519mm","-6.7414mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J13","-20.4043mm","-6.9221mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
"J15","23.1989mm","25.2869mm","Top",0,"THT",""
"J18","18.711mm","-12.2026mm","Top",0,"HDR-TH_2P-P5.08-V-R2-C1-S2.54",""
