Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,Up","2","","","Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","0.1uF","","",""
"C2,C9","2","","","Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","47uF","","",""
"C3","1","","","Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","1uF","","",""
"C5,C8","2","","","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","100nF","","",""
"C7","1","","","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","10nF","","",""
"D1,D14,D15,D16,D17,D8,D9","7","SS34","UMW(友台半导体)","Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","","","","SMB_L4.3-W3.6-LS5.4-RD"
"D2","1","SMBJ24A","Littelfuse Inc.","Diode","","","",""
"D3,D4","2","1N4002-T","DIODES(美台)","Diodes - General Purpose, DO-41_BD2.4-L4.7-P8.70-D0.9-RD","","","","DO-41_BD2.4-L4.7-P8.70-D0.9-RD"
"Down","1","","","Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric",".33uF","","",""
"F1","1","05200101Z","Littelfuse Inc.","Fuse","","","",""
"IC1","1","DRV8825PWPR","Texas Instruments Inc.","Integrated Circuit","","","",""
"J1,J11,J12,J13,J2","5","B3B-XH-A(LF)(SN)","JST Sales America Inc.","Connector","","","",""
"J3","1","S4P-VH","JST Sales America Inc.","Connector","","","",""
"J5,J6,J7,J8,J9","5","B2B-PH-K-S(LF)(SN)","JST Sales America","Connector","","","",""
"J10","1","61400416021","Würth Elektronik","USB A","","","",""
"J14,J16,J17,J4","4","1-2834011-6","TE Connectivity AMP Connectors","Connector","","","",""
"J15","1","0022232031","Molex","Connector, THT","","","",""
"L1","1","","","Inductor, 22uH, SMD_SRN6045TA","22uH","","",""
"Q1,Q6,Q7,Q8,Q9","5","AO3400A","UMW(友台半导体)","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","","","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"
"R1,R2,R36,R38,R40","5","","","Resistor, 100Ω, SMD_0603_1608Metric","100Ω","","",""
"R3","1","","","Resistor, 150Ω, SMD_0603_1608Metric","150Ω","","",""
"R4","1","","","Resistor, 1300Ω, SMD_0603_1608Metric","1300Ω","","",""
"R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","11","","","Resistor, 10kΩ, SMD_0603_1608Metric","10kΩ","","",""
"R17,R25,R26,R35,R37,R39,R41,R6","8","","","Resistor, 100kΩ, SMD_0603_1608Metric","100kΩ","","",""
"R23,R24","2","","","Resistor, 1kΩ, SMD_0603_1608Metric","1kΩ","","",""
"SW2","1","200MSP1T1B1M2QEH","E-Switch","Switch","","","",""
"U1","1","X5521WV-2x13-C40D40-1196","XKB Connection(中国星坤)","Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","","","","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2"
"U2","1","TPS54302DDCR","Texas Instruments","Integrated Circuit","","","",""
"U3","1","OPA340UA","Texas Instruments","Operational Amplifier (OP-AMP)","","","",""
"U5","1","LM7805CT/NOPB","Texas Instruments","Integrated Circuit","","","",""
"U6","1","LM338T/NOPB","Texas Instruments","Integrated Circuit","","","",""
