Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 0.1uF SMD_0603_1608Metric","C1, Up","","",""
"Non-Polarized Capacitor 47uF CP_Radial_D6.3mm_P2.50mm","C2, C9","","",""
"Non-Polarized Capacitor 1uF SMD_0603_1608Metric","C3","","",""
"Non-Polarized Capacitor 100nF SMD_0603_1608Metric","C5, C8","","",""
"Non-Polarized Capacitor 10nF SMD_0603_1608Metric","C7","","",""
"SS34","D1, D14, D15, D16, D17, D8, D9","SMB_L4.3-W3.6-LS5.4-RD","","C2758511"
"SMBJ24A","D2","","",""
"1N4002-T","D3, D4","DO-41_BD2.4-L4.7-P8.70-D0.9-RD","","C526193"
"Non-Polarized Capacitor .33uF SMD_0603_1608Metric","Down","","",""
"05200101Z","F1","","",""
"DRV8825PWPR","IC1","","",""
"B3B-XH-A(LF)(SN)","J1, J11, J12, J13, J2","","",""
"S4P-VH","J3","","",""
"B2B-PH-K-S(LF)(SN)","J5, J6, J7, J8, J9","","",""
"61400416021","J10","","",""
"1-2834011-6","J14, J16, J17, J4","","",""
"0022232031","J15","","",""
"Inductor 22uH SMD_SRN6045TA","L1","","",""
"AO3400A","Q1, Q6, Q7, Q8, Q9","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C347475"
"Resistor 100Ω SMD_0603_1608Metric","R1, R2, R36, R38, R40","","",""
"Resistor 150Ω SMD_0603_1608Metric","R3","","",""
"Resistor 1300Ω SMD_0603_1608Metric","R4","","",""
"Resistor 10kΩ SMD_0603_1608Metric","R11, R12, R18, R27, R28, R29, R30, R31, R32, R33, R34","","",""
"Resistor 100kΩ SMD_0603_1608Metric","R17, R25, R26, R35, R37, R39, R41, R6","","",""
"Resistor 1kΩ SMD_0603_1608Metric","R23, R24","","",""
"200MSP1T1B1M2QEH","SW2","","",""
"X5521WV-2x13-C40D40-1196","U1","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","","C2883554"
"TPS54302DDCR","U2","","",""
"OPA340UA","U3","","",""
"LM7805CT/NOPB","U5","","",""
"LM338T/NOPB","U6","","",""
