Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","2","C1,Up","","",""
"Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","2","C2,C9","","",""
"Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","1","C3","","",""
"Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","2","C5,C8","","",""
"Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","1","C7","","",""
"Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","7","D1,D14,D15,D16,D17,D8,D9","SS34","UMW(友台半导体)",""
"Diode","1","D2","SMBJ24A","Littelfuse Inc.",""
"Diodes - General Purpose, DO-41_BD2.4-L4.7-P8.70-D0.9-RD","2","D3,D4","1N4002-T","DIODES(美台)",""
"Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric","1","Down","","",""
"Fuse","1","F1","05200101Z","Littelfuse Inc.",""
"Integrated Circuit","1","IC1","DRV8825PWPR","Texas Instruments Inc.",""
"Connector","5","J1,J11,J12,J13,J2","B3B-XH-A(LF)(SN)","JST Sales America Inc.",""
"Connector","1","J3","S4P-VH","JST Sales America Inc.",""
"Connector","5","J5,J6,J7,J8,J9","B2B-PH-K-S(LF)(SN)","JST Sales America",""
"USB A","1","J10","61400416021","Würth Elektronik",""
"Connector","4","J14,J16,J17,J4","1-2834011-6","TE Connectivity AMP Connectors",""
"Connector, THT","1","J15","0022232031","Molex",""
"Inductor, 22uH, SMD_SRN6045TA","1","L1","","",""
"MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","5","Q1,Q6,Q7,Q8,Q9","AO3400A","UMW(友台半导体)",""
"Resistor, 100Ω, SMD_0603_1608Metric","5","R1,R2,R36,R38,R40","","",""
"Resistor, 150Ω, SMD_0603_1608Metric","1","R3","","",""
"Resistor, 1300Ω, SMD_0603_1608Metric","1","R4","","",""
"Resistor, 10kΩ, SMD_0603_1608Metric","11","R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","","",""
"Resistor, 100kΩ, SMD_0603_1608Metric","8","R17,R25,R26,R35,R37,R39,R41,R6","","",""
"Resistor, 1kΩ, SMD_0603_1608Metric","2","R23,R24","","",""
"Switch","1","SW2","200MSP1T1B1M2QEH","E-Switch",""
"Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","1","U1","X5521WV-2x13-C40D40-1196","XKB Connection(中国星坤)",""
"Integrated Circuit","1","U2","TPS54302DDCR","Texas Instruments",""
"Operational Amplifier (OP-AMP)","1","U3","OPA340UA","Texas Instruments",""
"Integrated Circuit","1","U5","LM7805CT/NOPB","Texas Instruments",""
"Integrated Circuit","1","U6","LM338T/NOPB","Texas Instruments",""
