Item #,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
"1","C1,Up","2","","","Non-Polarized Capacitor, 0.1uF, SMD_0603_1608Metric","","",""
"2","C2,C9","2","","","Non-Polarized Capacitor, 47uF, CP_Radial_D6.3mm_P2.50mm","","",""
"3","C3","1","","","Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","","",""
"4","C5,C8","2","","","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","","",""
"5","C7","1","","","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","","",""
"6","D1,D14,D15,D16,D17,D8,D9","7","UMW(友台半导体)","SS34","Schottky Barrier Diodes (SBD), SMB_L4.3-W3.6-LS5.4-RD","SMB_L4.3-W3.6-LS5.4-RD","",""
"7","D2","1","Littelfuse Inc.","SMBJ24A","Diode","","",""
"8","D3,D4","2","DIODES(美台)","1N4002-T","Diodes - General Purpose, DO-41_BD2.4-L4.7-P8.70-D0.9-RD","DO-41_BD2.4-L4.7-P8.70-D0.9-RD","",""
"9","Down","1","","","Non-Polarized Capacitor, .33uF, SMD_0603_1608Metric","","",""
"10","F1","1","Littelfuse Inc.","05200101Z","Fuse","","",""
"11","IC1","1","Texas Instruments Inc.","DRV8825PWPR","Integrated Circuit","","",""
"12","J1,J11,J12,J13,J2","5","JST Sales America Inc.","B3B-XH-A(LF)(SN)","Connector","","",""
"13","J3","1","JST Sales America Inc.","S4P-VH","Connector","","",""
"14","J5,J6,J7,J8,J9","5","JST Sales America","B2B-PH-K-S(LF)(SN)","Connector","","",""
"15","J10","1","Würth Elektronik","61400416021","USB A","","",""
"16","J14,J16,J17,J4","4","TE Connectivity AMP Connectors","1-2834011-6","Connector","","",""
"17","J15","1","Molex","0022232031","Connector, THT","","",""
"18","L1","1","","","Inductor, 22uH, SMD_SRN6045TA","","",""
"19","Q1,Q6,Q7,Q8,Q9","5","UMW(友台半导体)","AO3400A","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","",""
"20","R1,R2,R36,R38,R40","5","","","Resistor, 100Ω, SMD_0603_1608Metric","","",""
"21","R3","1","","","Resistor, 150Ω, SMD_0603_1608Metric","","",""
"22","R4","1","","","Resistor, 1300Ω, SMD_0603_1608Metric","","",""
"23","R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","11","","","Resistor, 10kΩ, SMD_0603_1608Metric","","",""
"24","R17,R25,R26,R35,R37,R39,R41,R6","8","","","Resistor, 100kΩ, SMD_0603_1608Metric","","",""
"25","R23,R24","2","","","Resistor, 1kΩ, SMD_0603_1608Metric","","",""
"26","SW2","1","E-Switch","200MSP1T1B1M2QEH","Switch","","",""
"27","U1","1","XKB Connection(中国星坤)","X5521WV-2x13-C40D40-1196","Pin Headers, HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","",""
"28","U2","1","Texas Instruments","TPS54302DDCR","Integrated Circuit","","",""
"29","U3","1","Texas Instruments","OPA340UA","Operational Amplifier (OP-AMP)","","",""
"30","U5","1","Texas Instruments","LM7805CT/NOPB","Integrated Circuit","","",""
"31","U6","1","Texas Instruments","LM338T/NOPB","Integrated Circuit","","",""
