Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1,Up","","2",""
"C2,C9","","2",""
"C3","","1",""
"C5,C8","","2",""
"C7","","1",""
"D1,D14,D15,D16,D17,D8,D9","SS34","7",""
"D2","SMBJ24A","1",""
"D3,D4","1N4002-T","2",""
"Down","","1",""
"F1","05200101Z","1",""
"IC1","DRV8825PWPR","1",""
"J1,J11,J12,J13,J2","B3B-XH-A(LF)(SN)","5",""
"J3","S4P-VH","1",""
"J5,J6,J7,J8,J9","B2B-PH-K-S(LF)(SN)","5",""
"J10","61400416021","1",""
"J14,J16,J17,J4","1-2834011-6","4",""
"J15","0022232031","1",""
"L1","","1",""
"Q1,Q6,Q7,Q8,Q9","AO3400A","5",""
"R1,R2,R36,R38,R40","","5",""
"R3","","1",""
"R4","","1",""
"R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","","11",""
"R17,R25,R26,R35,R37,R39,R41,R6","","8",""
"R23,R24","","2",""
"SW2","200MSP1T1B1M2QEH","1",""
"U1","X5521WV-2x13-C40D40-1196","1",""
"U2","TPS54302DDCR","1",""
"U3","OPA340UA","1",""
"U5","LM7805CT/NOPB","1",""
"U6","LM338T/NOPB","1",""
