Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","-18.8235mm","36.8198mm","Top",0,"SMD_0603_1608Metric","0.1uF"
"C2","-54.7373mm","-7.0084mm","Top",0,"CP_Radial_D6.3mm_P2.50mm","47uF"
"C3","8.7794mm","31.3285mm","Top",0,"SMD_0603_1608Metric","1uF"
"C5","-11.351mm","-22.2124mm","Top",0,"SMD_0603_1608Metric","100nF"
"C7","41.8326mm","34.2306mm","Top",0,"SMD_0603_1608Metric","10nF"
"C8","14.8341mm","23.1514mm","Top",0,"SMD_0603_1608Metric","100nF"
"C9","45.1697mm","11.0051mm","Top",0,"CP_Radial_D6.3mm_P2.50mm","47uF"
"D1","19.3148mm","-0.9185mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D2","25.7514mm","-1.4376mm","Top",0,"",""
"D3","-5.8515mm","39.0057mm","Top",0,"DO-41_BD2.4-L4.7-P8.70-D0.9-RD",""
"D4","1.7369mm","-0.0897mm","Top",0,"DO-41_BD2.4-L4.7-P8.70-D0.9-RD",""
"D8","-26.7954mm","8.9371mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D9","18.1957mm","-20.4417mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D14","16.7585mm","-23.7476mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D15","21.0248mm","-17.1664mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D16","6.7362mm","-15.9478mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"D17","8.4492mm","-7.0619mm","Top",0,"SMB_L4.3-W3.6-LS5.4-RD",""
"Down","22.197mm","34.7378mm","Top",0,"SMD_0603_1608Metric",".33uF"
"F1","-53.4873mm","18.5318mm","Top",0,"",""
"IC1","16.2492mm","-4.7859mm","Top",0,"",""
"J1","71.2057mm","45.9776mm","Top",0,"",""
"J2","22.6183mm","45.9776mm","Top",0,"",""
"J3","-46.422mm","46.3192mm","Top",0,"",""
"J4","-41.1223mm","-39.3855mm","Top",0,"",""
"J5","-1mm","45.9776mm","Top",0,"",""
"J6","6.1546mm","45.9776mm","Top",0,"",""
"J7","13.1425mm","45.9776mm","Top",0,"",""
"J8","-8.683mm","45.9776mm","Top",0,"",""
"J9","-15.8413mm","46.1428mm","Top",0,"",""
"J10","-69.0523mm","44.7878mm","Top",0,"",""
"J11","34.5743mm","45.9776mm","Top",0,"",""
"J12","58.5782mm","45.9776mm","Top",0,"",""
"J13","46.4197mm","45.9776mm","Top",0,"",""
"J14","-15.6809mm","-39.3855mm","Top",0,"",""
"J15","-24.4481mm","44.6226mm","Top",0,"THT",""
"J16","9.9038mm","-39.3855mm","Top",0,"",""
"J17","-66.0173mm","-39.3855mm","Top",0,"",""
"L1","33.881mm","-7.0084mm","Top",0,"SMD_SRN6045TA","22uH"
"Q1","-35.7657mm","-2.4812mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"Q6","-14.5833mm","-2.9524mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"Q7","-0.3564mm","6.4581mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"Q8","-6.9082mm","-11.2353mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"Q9","-15.1338mm","-14.0013mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"R1","-19.9053mm","-1.2292mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R2","-14.117mm","-8.2366mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R3","3.9846mm","33.2514mm","Top",0,"SMD_0603_1608Metric","150Ω"
"R4","-10.022mm","28.4556mm","Top",0,"SMD_0603_1608Metric","1300Ω"
"R6","-35.9407mm","4.9625mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R11","-43.671mm","18.5315mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R12","-6.7314mm","-20.4379mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R17","-19.0844mm","15.8789mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R18","1.3461mm","-22.7631mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R23","24.3464mm","21.8846mm","Top",0,"SMD_0603_1608Metric","1kΩ"
"R24","18.8159mm","19.2333mm","Top",0,"SMD_0603_1608Metric","1kΩ"
"R25","25.4017mm","20.2932mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R26","21.423mm","16.9103mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R27","-5.9064mm","-15.2664mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R28","-11.808mm","-23.8384mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R29","1.0922mm","-27.8096mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R30","0.0003mm","-25.1105mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R31","2.744mm","-18.3907mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R32","-1.7447mm","-8.3056mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R33","3.8057mm","-17.8531mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R34","-3.4221mm","-23.2497mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R35","-35.1797mm","-9.322mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R36","-20.4664mm","-15.55mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R37","-19.7058mm","-17.4675mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R38","-10.3767mm","-16.5075mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R39","-11.6114mm","-17.7172mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R40","-10.7837mm","-14.0555mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R41","-22.0166mm","-27.6002mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"SW2","32.2172mm","7.8385mm","Top",0,"",""
"U1","-93.3534mm","-105.3084mm","Top",0,"HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2",""
"U2","32.1141mm","11.4985mm","Top",0,"",""
"U3","-43.8973mm","-8.9406mm","Top",0,"",""
"U5","5.1546mm","17.4976mm","Top",0,"",""
"U6","-51.5673mm","4.9625mm","Top",0,"",""
"Up","12.5807mm","19.7696mm","Top",0,"SMD_0603_1608Metric","0.1uF"
