Comment,Designator,Footprint,LCSC,Quantity
1N4002,"D1,D2",D_DO-41_SOD81_P10.16mm_Horizontal,C18199086,2
1N4004,"D3,D4",D_DO-41_SOD81_P10.16mm_Horizontal,C18199087,2
USB_A,"J1,J12",USB_A_Connfly_DS1095,C6568,2
10k,R8,R_0201_0603Metric,C106225,1
10k,R16,R_0201_0603Metric,C106225,1
470u,C10,CP_Elec_3x5.3,C4747954,1
Sens3,J7,CONN_S5B-PH-K-S_JST,C20089285,1
47u,C1,C_0201_0603Metric,C16780,1
B3B-XH-ALFSN,J15,CONN_B3B-XH-A_JST,C144394,1
470u,C12,CP_Elec_3x5.3,C4747954,1
100n,C13,C_0201_0603Metric,C76934,1
10k,R19,R_0201_0603Metric,C106225,1
1,R1,R_0201_0603Metric,C2484784,1
2200,R21,R_0201_0603Metric,C142018,1
150,R2,R_0201_0603Metric,C295773,1
B3B-XH-ALFSN,J13,CONN_B3B-XH-A_JST,C144394,1
1300,R3,R_0201_0603Metric,C158815,1
Sens6,J10,CONN_S5B-PH-K-S_JST,C20089285,1
10k,R24,R_0201_0603Metric,C106225,1
TCMT1100,U9,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
TCMT1100,U5,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
.1u,C6,CP_Elec_3x5.3,C2887276,1
10u,C7,C_0201_0603Metric,C19702,1
Sens4,J8,CONN_S5B-PH-K-S_JST,C20089285,1
Sens5,J9,CONN_S5B-PH-K-S_JST,C20089285,1
1k,R5,R_0201_0603Metric,C138165,1
B3B-XH-ALFSN,J14,CONN_B3B-XH-A_JST,C144394,1
TCMT1100,U6,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,1
2200,R18,R_0201_0603Metric,C142018,1
2200,R7,R_0201_0603Metric,C142018,1
1985234,J17,CONN_1985234,C7472154,1
470u,C9,CP_Elec_3x5.3,C4747954,1
B3B-XH-ALFSN,J16,CONN_B3B-XH-A_JST,C144394,1
10k,R14,R_0201_0603Metric,C106225,1
2200,R12,R_0201_0603Metric,C142018,1
10k,R13,R_0201_0603Metric,C106225,1
ESP32-DevKitC,U10,ESP32-DevKitC,C20547324,1
10k,R26,R_0201_0603Metric,C106225,1
TCMT1100,U7,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
1N5232B,CR1,AFL-W2C8.9D,C895243,1
.1u,C3,C_0201_0603Metric,C76930,1
10k,R10,R_0201_0603Metric,C106225,1
470u,C11,CP_Elec_3x5.3,C4747954,1
10k,R11,R_0201_0603Metric,C106225,1
LM78L05_SO8,U2,SOIC-8_3.9x4.9mm_P1.27mm,C596351,1
10k,R28,R_0201_0603Metric,C106225,1
1,R4,R_0201_0603Metric,C2484784,1
47u,C4,C_0201_0603Metric,C16780,1
TCMT1100,U8,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
10k,R22,R_0201_0603Metric,C106225,1
10u,C8,C_0201_0603Metric,C19702,1
10k,R23,R_0201_0603Metric,C106225,1
10k,R25,R_0201_0603Metric,C106225,1
10k,R17,R_0201_0603Metric,C106225,1
Sens2,J6,CONN_S5B-PH-K-S_JST,C20089285,1
TCMT1100,U3,SOP-4_4.4x2.6mm_P1.27mm,C118298,1
B3B-XH-ALFSN,J2,CONN_B3B-XH-A_JST,C144394,1
1985234,J3,CONN_1985234,C7472154,1
2200,R15,R_0201_0603Metric,C142018,1
100u,C5,CP_Elec_3x5.3,C2836443,1
2200,R9,R_0201_0603Metric,C142018,1
10k,R6,R_0201_0603Metric,C106225,1
1985234,J4,CONN_1985234,C7472154,1
10k,R20,R_0201_0603Metric,C106225,1
Sens1,J5,CONN_S5B-PH-K-S_JST,C20089285,1
.1u,C2,C_0201_0603Metric,C76930,1
10k,R27,R_0201_0603Metric,C106225,1
100n,C14,C_0201_0603Metric,C76934,1
LM338T,U1,TO254P1054X470X1955-3,C53303,1
B4B-XH-A LFSN,J11,CONN_B4B-XH-A LFSN_JST,C594232,1
