Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Pololu_Breakout_DRV8825,Pololu_Breakout-16_15.2x20.3mm,128.0,-139.51,-90.0,top
C1,47u,C_0201_0603Metric,129.980414,-118.540694,0.0,top
C10,470u,CP_Elec_3x5.3,168.664481,-104.906978,0.0,top
C11,470u,CP_Elec_3x5.3,180.6637,-105.470996,-90.0,top
C12,470u,CP_Elec_3x5.3,192.277763,-104.906978,0.0,top
C13,100n,C_0201_0603Metric,119.316352,-130.652844,0.0,top
C14,100n,C_0201_0603Metric,117.031195,-130.652844,0.0,top
C2,.1u,C_0201_0603Metric,132.26557,-118.540694,0.0,top
C3,.1u,C_0201_0603Metric,124.298383,-118.190694,90.0,top
C4,47u,C_0201_0603Metric,79.356977,-105.321535,90.0,top
C5,100u,CP_Elec_3x5.3,75.734794,-114.748099,180.0,top
C6,.1u,CP_Elec_3x5.3,84.687137,-109.256043,90.0,top
C7,10u,C_0201_0603Metric,134.550727,-108.699573,0.0,top
C8,10u,C_0201_0603Metric,134.550727,-110.213592,0.0,top
C9,470u,CP_Elec_3x5.3,156.476981,-105.663987,180.0,top
CR1,1N5232B,AFL-W2C8.9D,71.166874,-109.68443,90.0,top
D1,1N4002,D_DO-41_SOD81_P10.16mm_Horizontal,126.541356,-120.786183,180.0,top
D2,1N4002,D_DO-41_SOD81_P10.16mm_Horizontal,115.877294,-127.917258,0.0,top
D3,1N4004,D_DO-41_SOD81_P10.16mm_Horizontal,65.65745,-116.274174,90.0,top
D4,1N4004,D_DO-41_SOD81_P10.16mm_Horizontal,80.891825,-113.246136,90.0,top
J1,USB_A,USB_A_Connfly_DS1095,29.93,-98.4165,0.0,top
J10,Sens6,CONN_S5B-PH-K-S_JST,129.104899,-96.7601,0.0,top
J11,B4B-XH-A LFSN,CONN_B4B-XH-A LFSN_JST,207.4666,-98.807301,0.0,top
J12,USB_A,USB_A_Connfly_DS1095,29.57,-168.361,180.0,top
J13,B3B-XH-ALFSN,CONN_B3B-XH-A_JST,154.9666,-99.029801,0.0,top
J14,B3B-XH-ALFSN,CONN_B3B-XH-A_JST,167.5,-98.7775,0.0,top
J15,B3B-XH-ALFSN,CONN_B3B-XH-A_JST,180.0,-98.7775,0.0,top
J16,B3B-XH-ALFSN,CONN_B3B-XH-A_JST,193.0,-98.7775,0.0,top
J17,1985234,CONN_1985234,60.749999,-164.5,0.0,top
J2,B3B-XH-ALFSN,CONN_B3B-XH-A_JST,142.4666,-98.807301,0.0,top
J3,1985234,CONN_1985234,87.749999,-164.5,0.0,top
J4,1985234,CONN_1985234,113.25,-164.5,0.0,top
J5,Sens1,CONN_S5B-PH-K-S_JST,49.104899,-96.7601,0.0,top
J6,Sens2,CONN_S5B-PH-K-S_JST,64.888482,-96.730299,0.0,top
J7,Sens3,CONN_S5B-PH-K-S_JST,80.604899,-96.7601,0.0,top
J8,Sens4,CONN_S5B-PH-K-S_JST,97.104899,-96.7601,0.0,top
J9,Sens5,CONN_S5B-PH-K-S_JST,113.604899,-96.7601,0.0,top
R1,1,R_0201_0603Metric,128.106977,-118.190694,90.0,top
R10,10k,R_0201_0603Metric,72.089789,-100.37247,180.0,top
R11,10k,R_0201_0603Metric,75.898383,-123.08275,180.0,top
R12,2200,R_0201_0603Metric,86.562445,-130.652844,0.0,top
R13,10k,R_0201_0603Metric,85.039008,-94.316395,180.0,top
R14,10k,R_0201_0603Metric,79.706977,-135.1949,0.0,top
R15,2200,R_0201_0603Metric,119.316352,-152.606115,0.0,top
R16,10k,R_0201_0603Metric,101.79682,-94.316395,0.0,top
R17,10k,R_0201_0603Metric,112.110883,-150.742096,90.0,top
R18,2200,R_0201_0603Metric,71.32807,-140.493965,0.0,top
R19,10k,R_0201_0603Metric,117.031195,-94.316395,0.0,top
R2,150,R_0201_0603Metric,118.966352,-120.461722,90.0,top
R20,10k,R_0201_0603Metric,74.024945,-133.330881,90.0,top
R21,2200,R_0201_0603Metric,112.110883,-140.900975,90.0,top
R22,10k,R_0201_0603Metric,132.26557,-94.316395,180.0,top
R23,10k,R_0201_0603Metric,112.110883,-146.957049,90.0,top
R24,10k,R_0201_0603Metric,129.980414,-148.821068,0.0,top
R25,10k,R_0201_0603Metric,124.648383,-148.821068,0.0,top
R26,10k,R_0201_0603Metric,127.695258,-148.821068,0.0,top
R27,10k,R_0201_0603Metric,139.532758,-145.443031,90.0,top
R28,10k,R_0201_0603Metric,123.886664,-127.624806,180.0,top
R3,1300,R_0201_0603Metric,118.966352,-118.190694,90.0,top
R4,1,R_0201_0603Metric,80.880414,-105.321535,90.0,top
R5,1k,R_0201_0603Metric,68.692914,-112.891629,90.0,top
R6,10k,R_0201_0603Metric,62.949164,-94.316395,180.0,top
R7,2200,R_0201_0603Metric,87.324164,-121.568732,0.0,top
R8,10k,R_0201_0603Metric,85.450727,-113.648638,90.0,top
R9,2200,R_0201_0603Metric,84.277289,-125.353778,0.0,top
U1,LM338T,TO254P1054X470X1955-3,114.84245,-120.212211,90.0,top
U10,ESP32-DevKitC,ESP32-DevKitC,184.04344,-136.5,-90.0,top
U2,LM78L05_SO8,SOIC-8_3.9x4.9mm_P1.27mm,75.684794,-108.406043,0.0,top
U3,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,88.145731,-116.183146,0.0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,129.081669,-107.709034,0.0,top
U5,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,84.337138,-119.968193,0.0,top
U6,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,83.228544,-132.509314,90.0,top
U7,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,117.505888,-149.920529,90.0,top
U8,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,67.579325,-135.108379,0.0,top
U9,TCMT1100,SOP-4_4.4x2.6mm_P1.27mm,114.805888,-143.435482,180.0,top
