"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R8,R16,R19,R24,R14,R13,R26,R10,R11,R28,R22,R23,R25,R17,R6,R20,R27";"R_0201_0603Metric";17;"10k";;;
2;"C10,C12,C9,C11";"CP_Elec_3x5.3";4;"470u";;;
3;"J7";"CONN_S5B-PH-K-S_JST";1;"Sens3";;;
4;"C1,C4";"C_0201_0603Metric";2;"47u";;;
5;"J15,J13,J14,J16,J2";"CONN_B3B-XH-A_JST";5;"B3B-XH-ALFSN";;;
6;"C13,C14";"C_0201_0603Metric";2;"100n";;;
7;"R1,R4";"R_0201_0603Metric";2;"1";;;
8;"R21,R18,R7,R12,R15,R9";"R_0201_0603Metric";6;"2200";;;
9;"R2";"R_0201_0603Metric";1;"150";;;
10;"R3";"R_0201_0603Metric";1;"1300";;;
11;"J10";"CONN_S5B-PH-K-S_JST";1;"Sens6";;;
12;"U9,U5,U6,U7,U8,U3";"SOP-4_4.4x2.6mm_P1.27mm";6;"TCMT1100";;;
13;"C6";"CP_Elec_3x5.3";1;".1u";;;
14;"C7,C8";"C_0201_0603Metric";2;"10u";;;
15;"J8";"CONN_S5B-PH-K-S_JST";1;"Sens4";;;
16;"J9";"CONN_S5B-PH-K-S_JST";1;"Sens5";;;
17;"R5";"R_0201_0603Metric";1;"1k";;;
18;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
19;"J17,J3,J4";"CONN_1985234";3;"1985234";;;
20;"J1,J12";"USB_A_Connfly_DS1095";2;"USB_A";;;
21;"U10";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
22;"CR1";"AFL-W2C8.9D";1;"1N5232B";;;
23;"C3,C2";"C_0201_0603Metric";2;".1u";;;
24;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4002";;;
25;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM78L05_SO8";;;
26;"D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4004";;;
27;"J6";"CONN_S5B-PH-K-S_JST";1;"Sens2";;;
28;"C5";"CP_Elec_3x5.3";1;"100u";;;
29;"J5";"CONN_S5B-PH-K-S_JST";1;"Sens1";;;
30;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"Pololu_Breakout_DRV8825";;;
31;"U1";"TO254P1054X470X1955-3";1;"LM338T";;;
32;"J11";"CONN_B4B-XH-A LFSN_JST";1;"B4B-XH-A LFSN";;;
